Token,POS
skrap,VTHOG
dit,PDOENP
wat,PB
nie,BS
van,SVS
toepassing,NSE
is,VTHOK
nie,UPO
.,ZE
,
In,SVS
die,LB
afdeling,NSE
Declaration,RV
moet,VTUOM
jy,PTENP
die,LB
onderstaande,ASA
inligting,NM
verstrek,VTHOG
:,ZM
,
die,LB
voorletters,NSM
en,KN
van,NSE
van,SVS
die,LB
persoon,NSE
wat,PB
om,SVS
lisensi‰ring,NA
aansoek,NSE
doen,VTHOG
,
die,LB
aansoeker,NSE
se,UPS
status,NA
",",ZM
bv.,RA
direkteur,NSE
",",ZM
bestuurder,NSE
",",ZM
eienaar,NSE
,
die,LB
aansoeker,NSE
moet,VTUOM
die,LB
aansoekvorm,NSE
onderteken,VTHOG
,
die,LB
datum,NSE
waarop,PB
die,LB
aansoek,NSE
onderteken,VTHOG
is,VVUOP
,
die,LB
plek,NSE
waar,PB
die,LB
aansoek,NSE
onderteken,VTHOG
is,VVUOP
.,ZE
,
Vul,VTHOG
die,LB
aansoekvorm,NSE
in,UPW
en,KN
handig,VTHOG
dit,PDOENP
by,SVS
die,LB
naaste,AOA
SAID-doeane-en-aksynskantoor,NSE
in,UPW
.,ZE
,
Heg,VTHOG
oorspronklike,ASA
of,KN
gewaarmerkte,ASA
kopie‰,NSM
van,SVS
die,LB
volgende,ASA
dokumente,NSM
by,SVS
die,LB
aansoekvorm,NSE
aan,UPW
:,ZM
,
die,LB
onderneming,NSE
se,UPS
registrasiesertifikaat,NSE
",",ZM
soos,UPV
uitgereik,VVHOG
deur,SVS
die,LB
registrateur,NSE
van,SVS
maatskappye,NSM
of,KN
",",ZM
in,SVS
die,LB
geval,NSE
van,SVS
'n,LO
trust,NSE
",",ZM
deur,SVS
die,LB
meester,NSE
van,SVS
die,LB
hooggeregshof,NSE
,
besluit,NSE
",",ZM
toestemming,NA
",",ZM
of,KN
enige,PO
ander,ASA
toepaslike,ASA
magtiging,NA
,
'n,LO
Permit,NSE
van,SVS
die,LB
Departement,NSE
van,SVS
Handel,NA
en,KN
Nywerheid,NSE
-,ZM
indien,KO
van,SVS
toepassing,NSE
,
formules,NSM
-,ZM
indien,KO
daar,UXD
ingevolge,SVS
kortingsitem,NSE
607.04.10(02),RS
",",ZM
607.04.10(03),RS
",",ZM
607.04.10(09),RS
en,KN
607.04.10(12),RS
aansoek,NSE
gedoen,VVHOG
word,VTUOP
,
identiteitsdokumente,NSM
-,ZM
in,SVS
die,LB
geval,NSE
van,SVS
'n,LO
Suid-Afrikaanse,ASA
burger,NSE
,
Paspoortdokumente,NSM
-,ZM
in,SVS
die,LB
geval,NSE
van,SVS
:,ZM
,
'n,LO
nie-inwonende,ASA
individu,NSE
(,ZPL
'n,LO
nie-ingesetene,NSE
),ZPR
,
'n,LO
beslote,ASA
korporasie,NSE
en,KN
trust,NSE
:,ZM
alle,THAO
lede,NSM
",",ZM
vennote,NSM
of,KN
trustees,NSM
,
'n,LO
maatskappy,NSE
:,ZM
alle,THAO
direkteure,NSM
",",ZM
insluitende,SVS
die,LB
besturende,ASA
direkteur,NSE
en,KN
die,LB
finansi‰le,ASA
direkteur,NSE
.,ZE
,
Crime,NEE
Stop,NEE
is,VTHOK
'n,LO
reeks,NSE
oproepsentrums,NSM
wat,PB
by,SVS
die,LB
publiek,NM
inligting,NM
oor,SVS
misdadigers,NSM
en,KN
hulle,PDMP
bedrywighede,NSM
insamel,VTHSG
.,ZE
,
Lede,NSM
van,SVS
die,LB
publiek,NM
word,VTUOP
gehelp,VVHOG
deur,SVS
oproepsentrumpersoneel,NM
wat,PB
goed,BS
opgelei,VVHOG
is,VVUOP
in,SVS
ondersoekende,ASA
onderhoudvoering,NA
.,ZE
,
Dit,PDOENP
stel,VTHOG
jou,PTEDP
in,SVS
staat,NSE
om,SVS
die,LB
Suid-Afrikaanse,ASA
Polisiediens,NSE
(,ZPL
SAPD,RL
),ZPR
in,SVS
'n,LO
veilige,ASA
omgewing,NSE
",",ZM
en,KN
sonder,SVS
enige,PO
bedreiging,NSE
",",ZM
oor,SVS
kriminele,ASA
bedrywighede,NSM
in,UPW
te,UPI
lig,VTHOG
.,ZE
,
Jy,PTENP
kan,VTUOM
vra,VTHOG
om,SVS
anoniem,ASP
te,UPI
bly,VTHOK
(,ZPL
dit,PDOENP
wil,VTUOM
sˆ,VTHOG
om,SVS
nie,BS
te,UPI
sˆ,VTHOG
wie,PB
jy,PTENP
is,VTHOK
nie,UPO
.,ZE
),ZPR
,
Om,SVS
te,UPI
waarborg,VTHOG
dat,KO
informante,NSM
se,UPS
identiteit,NSE
nie,BS
bekend,ASP
sal,VTUOM
word,VTHOK
nie,UPO
",",ZM
word,VTUOP
opsporingsmeganismes,NSM
en,KN
inbeller-identifikasietegnologie,NSE
nie,BS
by,SVS
Crime,NEE
Stop,NEE
toegelaat,VVHOG
nie,UPO
.,ZE
,
Die,LB
inligting,NM
wat,PB
jy,PTENP
verstrek,VTHOG
",",ZM
word,VTUOP
aan,SVS
speurders,NSM
oorgedra,VVHOG
.,ZE
,
Sekere,ASA
Crime,NEE
Stop-oproepsentrums,NSM
verbind,VTHOG
informante,NSM
ook,BS
regstreeks,BS
met,SVS
ondersoekbeamptes,NSM
deur,SVS
die,LB
telefoonkonferensiestelsel,NSE
te,UPI
gebruik,VTHOG
.,ZE
,
Dit,PDOENP
stel,VTHOG
die,LB
ondersoekbeampte,NSE
in,SVS
staat,NSE
om,SVS
die,LB
informant,NSE
regstreeks,BS
te,UPI
ondervra,VTHOG
.,ZE
,
Let,VTHOO
wel,BS
:,ZM
dit,PDOENP
word,VTUOP
slegs,BS
gedoen,VVHOG
indien,KO
jy,PTENP
daartoe,PB
instem,VTHSO
.,ZE
,
Jy,PTENP
kan,VTUOM
kriminele,ASA
bedrywighede,NSM
ook,BS
elektronies,BS
op,SVS
die,LB
Suid-Afrikaanse,ASA
Polisiediens,NSE
(,ZPL
SAPD,RL
),ZPR
se,UPS
webwerf,NSE
aanmeld,VTHSG
.,ZE
,
Jou,PTEB
anonimiteit,NA
word,VTUOP
ook,BS
hier,BS
gewaarborg,VVHOG
",",ZM
behalwe,SVS
as,KO
jy,PTENP
aandui,VTHSG
dat,KO
dit,PDOENP
nie,BS
gedoen,VVHOG
hoef,VTUOM
te,UPI
word,VTUOP
nie,UPO
.,ZE
,
Bel,VTHOG
die,LB
Crime,NEE
Stop-nommer,NSE
:,ZM
08600,RS
10,RS
111,RS
.,ZE
,
Die,LB
agent,NSE
by,SVS
die,LB
oproepsentrum,NSE
sal,VTUOM
sekere,ASA
vrae,NSM
aan,SVS
jou,PTEDP
stel,VTHOG
.,ZE
,
Indien,KO
jou,PTEB
inligting,NM
bruikbaar,ASP
is,VTHOK
",",ZM
sal,VTUOM
hy,PDHENP
of,KN
sy,PDVENP
'n,LO
unieke,ASA
kodenommer,NSE
aan,SVS
jou,PTEDP
verstrek,VTHOG
.,ZE
,
Indien,KO
die,LB
inligting,NM
wat,PB
jy,PTENP
verstrek,VTHOG
nie,BS
bruikbaar,ASP
genoeg,BS
is,VTHOK
nie,UPO
",",ZM
sal,VTUOM
die,LB
agent,NSE
aan,SVS
jou,PTEDP
verduidelik,VTHOG
waarom,PB
dit,PDOENP
nog,BS
nie,BS
bruikbaar,ASP
genoeg,BS
is,VTHOK
nie,UPO
en,KN
jou,PTEDP
raad,NM
gee,VTHOG
oor,SVS
hoe,PB
om,SVS
bykomende,ASA
inligting,NM
te,UPI
bekom,VTHOG
.,ZE
,
Bruikbare,ASA
inligting,NM
word,VTUOP
gekoppel,VVHOG
aan,SVS
die,LB
kodenommer,NSE
wat,PB
aan,SVS
jou,PTEDP
verstrek,VTHOG
is,VVUOP
.,ZE
,
Jy,PTENP
sal,VTUOM
gevra,VVHOG
word,VTUOP
om,SVS
Crime,NEE
Stop,NEE
binne,SVS
'n,LO
gegewe,ASA
tyd,NSE
weer,BS
by,SVS
08600,RS
10,RS
111,RS
te,UPI
bel,VTHOG
om,SVS
te,UPI
hoor,VTHOG
of,KN
die,LB
inligting,NM
positief,ASP
was,VVHOK
en,KN
of,KO
jy,PTENP
vir,SVS
'n,LO
beloning,NSE
kwalifiseer,VTHOO
(,ZPL
mits,KO
jy,PTENP
vooraf,BS
om,SVS
'n,LO
beloning,NSE
aansoek,NSE
gedoen,VVHOG
het,VUOT
),ZPR
.,ZE
,
In,SVS
die,LB
toekoms,NA
sal,VTUOM
die,LB
agent,NSE
die,LB
saak,NSE
slegs,BS
met,SVS
jou,PTEDP
bespreek,VTHOG
indien,KO
jy,PTENP
die,LB
korrekte,ASA
kodenommer,NSE
verstrek,VTHOG
",",ZM
en,KN
mits,KO
jou,PTEB
identiteit,NSE
ooreenstem,VTHSO
met,SVS
die,LB
',ZPL
profiel,NSE
',ZPR
wat,PB
op,SVS
rekord,NSE
is,VTHOK
.,ZE
,
Die,LB
agent,NSE
sal,VTUOM
die,LB
oproep,NSE
onmiddellik,BS
be‰indig,VTHOG
indien,KO
hy,PDHENP
of,KN
sy,PDVENP
vermoed,VTHOG
dat,KO
jy,PTENP
nie,BS
die,LB
persoon,NSE
is,VTHOK
wat,PB
die,LB
oorspronklike,ASA
oproep,NSE
gemaak,VVHOG
het,VUOT
nie,UPO
.,ZE
,
Hierdie,PA
is,VTHOK
'n,LO
beskermingsmaatre‰l,NSE
",",ZM
en,KN
is,VTHOK
nie,BS
onderhandelbaar,ASP
nie,UPO
.,ZE
,
Indien,KO
jy,PTENP
'n,LO
misdaad,NSE
elektronies,BS
aanmeld,VTHSG
",",ZM
moet,VTUOM
jy,PTENP
die,LB
inligting,NM
op,SVS
die,LB
terugvoervorm,NSE
op,SVS
die,LB
SAPD-webwerf,NSE
verstrek,VTHOG
.,ZE
,
'n,LO
Verwysingsnommer,NSE
sal,VTUOM
op,SVS
die,LB
skerm,NSE
verskyn,VTHOO
sodra,KO
jy,PTENP
die,LB
vorm,NSE
ingedien,VVHOG
het,VUOT
.,ZE
,
Crime,NEE
Stop,NEE
sal,VTUOM
die,LB
inligting,NM
aan,SVS
die,LB
betrokke,ASA
ondersoekeenheid,NSE
oordra,VTHSG
om,SVS
op,UPW
te,UPI
volg,VTHOG
",",ZM
met,SVS
die,LB
versoek,NSE
om,SVS
binne,SVS
24,RS
uur,NSE
terug,UPW
te,UPI
rapporteer,VTHOO
en,KN
so,BS
gou,BS
moontlik,ASP
oor,SVS
die,LB
afloop,NA
van,SVS
die,LB
ondersoek,NSE
verslag,NSE
te,UPI
doen,VTHOG
.,ZE
,
Indien,KO
jy,PTENP
vir,SVS
'n,LO
beloning,NSE
in,SVS
aanmerking,NA
kom,VTHOO
(,ZPL
en,KN
jy,PTENP
wel,BS
daarvoor,PB
aansoek,NSE
gedoen,VVHOG
het,VUOT
),ZPR
",",ZM
sal,VTUOM
die,LB
ondersoekbeampte,NSE
die,LB
bedrag,NSE
van,SVS
die,LB
beloning,NSE
vasstel,VTHSG
en,KN
die,LB
eis,NSE
ooreenkomstig,SVS
National,RV
Information,RV
2,RS
/,RS
2001,RS
(,ZPL
Nasionale,ASA
Inligting,NM
2,RS
/,RS
2001,RS
),ZPR
verwerk,VTHOG
.,ZE
,
Sodra,KO
die,LB
beloning,NSE
gereed,ASP
is,VTHOK
",",ZM
sal,VTUOM
Crime,NEE
Stop,NEE
met,SVS
jou,PTEDP
in,SVS
verbinding,NSE
tree,VTHOO
om,SVS
af,UPW
te,UPI
spreek,VTHOG
oor,SVS
hoe,PB
die,LB
betaling,NSE
sal,VTUOM
geskied,VTHOO
.,ZE
,
Ek,PEENP
staan,VTHOO
vanaand,BS
hier,BS
voor,SVS
u,PTENP
",",ZM
20,RS
jaar,NSE
nadat,KO
President,NSE
Nelson,NEE
Rolihlahla,NEE
Mandela,NEE
as,KO
'n,LO
vry,ASA
man,NSE
uit,SVS
die,LB
gevangenis,NSE
gestap,VVHOO
het,VUOT
.,ZE
,
Ons,PEMP
het,VUOT
juis,BS
hierdie,PA
dag,NSE
gekies,VVHOG
om,SVS
hierdie,PA
Gesamentlike,ASA
Sitting,NSE
van,SVS
die,LB
Parlement,NSE
byeen,UPW
te,UPI
roep,VTHOG
om,SVS
die,LB
Staatsrede,NSE
te,UPI
lewer,VTHOG
en,KN
sodoende,BS
'n,LO
waterskeidingsoomblik,NSE
wat,PB
ons,PEMB
land,NSE
se,UPS
geskiedenis,NA
vir,SVS
ewig,BS
verander,VTHOG
het,VUOT
",",ZM
te,UPI
gedenk,VTHOG
.,ZE
,
Madiba,NEE
se,UPS
vrylating,NA
was,VVHOK
die,LB
uitkoms,NSE
van,SVS
Suid-Afrikaners,NSM
se,UPS
onvermoeide,ASA
stryd,NA
.,ZE
,
Voormalige,ASA
politieke,ASA
gevangenes,NSM
en,KN
veterane,NSM
wat,PB
hier,BS
saam,BS
met,SVS
ons,PEMP
is,VTHOK
",",ZM
was,VVHOK
deel,NSE
van,SVS
daardie,PA
proses,NSE
en,KN
kan,VTUOM
getuig,VTHOG
daarvan,PB
.,ZE
,
U,PTENP
sal,VTUOM
natuurlik,BS
onthou,VTHOG
dat,KO
die,LB
massas,NSM
in,SVS
hierdie,PA
land,NSE
",",ZM
in,SVS
hul,PDMB
onderskeie,ASA
formasies,NSM
",",ZM
met,SVS
vasberadenheid,NA
gereageer,VVHOO
het,VUOT
op,SVS
die,LB
oproep,NSE
om,SVS
die,LB
land,NSE
onregeerbaar,ASP
en,KN
apartheid,NA
onwerkbaar,ASP
te,UPI
maak,VTHOG
.,ZE
,
Ons,PEMP
vier,VTHOG
hierdie,PA
dag,NSE
saam,BS
met,SVS
voormalige,ASA
politieke,ASA
gevangenes,NSM
wat,PB
ons,PEMP
spesiaal,BS
uitgenooi,VVHOG
het,VUOT
om,SVS
hier,BS
by,SVS
ons,PEMP
aan,UPW
te,UPI
sluit,VTHOO
.,ZE
,
Ons,PEMP
verwelkom,VTHOG
in,SVS
die,LB
besonder,NA
diegene,PO
wat,PB
uit,SVS
die,LB
buiteland,NM
gekom,VVHOO
het,VUOT
om,SVS
vandag,BS
hier,BS
te,UPI
wees,VTHOK
:,ZM
Helene,NEE
Pastoors,NEE
",",ZM
Michael,NEE
Dingake,NEE
van,SVS
Botswana,NEE
",",ZM
mnr,RA
Andimba,NEE
Toivo,NEE
ya,NEE
Toivo,NEE
van,SVS
Swapo,RK
in,SVS
Namibi‰,NEE
.,ZE
,
Dit,PDOENP
is,VTHOK
ook,BS
ons,PEMB
voorreg,NSE
om,SVS
die,LB
regspan,NSE
van,SVS
die,LB
Rivonia,NEE
Hoogverraadverhoor,NSE
-,ZM
Lord,NSE
Joel,NEE
Joffe,NEE
",",ZM
wat,PB
tans,BS
in,SVS
Londen,NEE
gebaseer,VVHOG
is,VVUOP
",",ZM
en,KN
Regter,NSE
Arthur,NEE
Chaskalson,NEE
hier,BS
by,SVS
ons,PEMP
te,UPI
hˆ,VTHOG
.,ZE
,
Ons,PEMP
onthou,VTHOG
en,KN
vereer,VTHOG
vandag,BS
ook,BS
mnr,RA
Harry,NEE
Schwarz,NEE
",",ZM
wat,PB
verlede,ASA
week,NSE
oorlede,ASP
is,VTHOK
.,ZE
,
Hy,PDHENP
was,VVHOK
onder,SVS
andere,NSM
ook,BS
'n,LO
lid,NSE
van,SVS
die,LB
Rivonia-regspan,NSE
.,ZE
,
Ons,PEMP
bedank,VTHOG
graag,BS
ons,PEMB
vriende,NSM
en,KN
comrades,NSM
in,SVS
die,LB
internasionale,ASA
gemeenskap,NSE
vir,SVS
hul,PDMB
stryd,NA
saam,BS
met,SVS
ons,PEMP
om,SVS
ons,PEMB
vryheid,NA
te,UPI
wen,VTHOG
.,ZE
,
'n,LO
Spesiale,ASA
woord,NSE
van,SVS
welkom,NA
aan,SVS
die,LB
Madiba-familie,NSE
.,ZE
,
Hulle,PDMP
is,VTHOK
'n,LO
simbool,NSE
van,SVS
die,LB
opofferings,NSM
wat,PB
baie,THPO
moes,VVUOM
maak,VTHOG
wat,PB
soveel,THBO
weens,SVS
apartheid,NA
moes,VVUOM
trotseer,VTHOG
.,ZE
,
Ons,PEMP
groet,VTHOG
die,LB
leiers,NSM
van,SVS
die,LB
regerende,ASA
party,NSE
en,KN
sy,PDHEB
Alliansie-vennote,NSE
",",ZM
vir,SVS
wie,PB
hierdie,PA
'n,LO
besonder,BS
spesiale,ASA
geleentheid,NSE
is,VTHOK
.,ZE
,
Landsgenote,NSM
en,KN
vriende,NSM
",",ZM
,
Op,SVS
hierdie,PA
spesiale,ASA
dag,NSE
moet,VTUOM
ons,PEMP
ook,BS
die,LB
bydrae,NSE
erken,VTHOG
van,SVS
diegene,PO
in,SVS
die,LB
leierskorps,NM
van,SVS
die,LB
Nasionale,ASA
Party,NSE
",",ZM
wat,PB
uiteindelik,BS
besef,VTHOG
het,VUOT
dat,KO
apartheid,NA
geen,THAB
toekoms,NA
sou,VVUOM
hˆ,VTHOG
nie,UPO
.,ZE
,
Laat,VTUOA
ek,PEENP
spesifiek,BS
die,LB
rol,NSE
van,SVS
voormalige,ASA
President,NSE
PW,NEE
Botha,NEE
hier,BS
noem,VTHOG
.,ZE
,
Dit,PDOENP
was,VVHOK
hy,PDHENP
wat,PB
die,LB
bal,NSE
aan,SVS
die,LB
rol,VTHOO
gesit,VVHOG
het,VUOT
met,SVS
gesprekke,NSM
oor,SVS
die,LB
moontlike,ASA
vrylating,NA
van,SVS
politieke,ASA
gevangenes,NSM
.,ZE
,
President,NSE
Botha,NEE
het,VUOT
met,SVS
die,LB
voormalige,ASA
Minister,NSE
van,SVS
Justisie,NA
",",ZM
mnr,RA
Kobie,NEE
Coetzee,NEE
",",ZM
saamgewerk,VVHOO
",",ZM
wat,PB
op,SVS
sy,PDHEB
beurt,NSE
hierin,PB
bygestaan,VVHOG
is,VVUOP
deur,SVS
dr,RA
Neil,NEE
Barnard,NEE
en,KN
mnr,RA
Mike,NEE
Louw,NEE
.,ZE
,
Hulle,PDMP
het,VUOT
'n,LO
sleutelrol,NSE
gespeel,VVHOG
in,SVS
die,LB
proses,NSE
wat,PB
tot,SVS
Madiba,NEE
se,UPS
vrylating,NA
gelei,VVHOO
het,VUOT
.,ZE
,
Agbare,ASA
landsgenote,NSM
",",ZM
,
Suid-Afrika,NEE
moet,VTUOM
nog,BS
ten,SVS
volle,BS
erkenning,NA
gee,VTHOG
aan,SVS
die,LB
deurslaggewende,ASA
rol,NSE
van,SVS
die,LB
voormalige,ASA
President,NSE
van,SVS
die,LB
ANC,RL
",",ZM
Comrade,RV
Oliver,NEE
Tambo,NEE
",",ZM
wat,PB
die,LB
grondslag,NSE
gelˆ,VVHOG
het,VUOT
vir,SVS
hierdie,PA
land,NSE
om,SVS
'n,LO
uitmuntende,ASA
voorbeeld,NSE
van,SVS
demokrasie,NA
en,KN
vryheid,NA
te,UPI
word,VTHOK
.,ZE
,
Dit,PDOENP
is,VTHOK
te,UPI
danke,VTHOO
aan,SVS
sy,PDHEB
uitstaande,ASA
leierskap,NA
",",ZM
versiendheid,NA
en,KN
duidelike,ASA
visie,NSE
dat,KO
hy,PDHENP
die,LB
ANC,RL
kon,VVUOM
lei,VTHOG
om,SVS
die,LB
strewe,NA
na,SVS
'n,LO
onderhandelde,ASA
skikking,NSE
te,UPI
verskerp,VTHOG
.,ZE
,
Sy,PDHEB
wysheid,NSE
het,VUOT
ook,BS
duidelik,ASP
geblyk,VVHOK
uit,SVS
die,LB
Harare,NEE
Deklarasie,NSE
",",ZM
wat,PB
hy,PDHENP
geskryf,VVHOG
en,KN
onvermoeid,BS
bepleit,VTHOG
het,VUOT
.,ZE
,
Hierdeur,PB
is,VVUOP
die,LB
basis,NSE
gelˆ,VVHOG
vir,SVS
die,LB
historiese,ASA
aankondigings,NSM
wat,PB
President,NSE
FW,NEE
de,LB
Klerk,NSE
20,RS
jaar,NSE
gelede,BS
gemaak,VVHOG
het,VUOT
.,ZE
,
President,NSE
de,LB
Klerk,NSE
het,VUOT
hierdeur,PB
groot,ASA
moed,NA
en,KN
besliste,ASA
leierskap,NA
aan,SVS
die,LB
dag,NSE
gelˆ,VVHOG
.,ZE
,
Op,SVS
hierdie,PA
groot,ASA
dag,NSE
wil,VTUOM
ek,PEENP
ook,BS
die,LB
rol,NSE
van,SVS
wyle,ASA
me,RA
Helen,NEE
Suzman,NEE
uitlig,VTHSG
.,ZE
,
Sy,PDVENP
was,VVHOK
baie,THBO
lank,BS
die,LB
enigste,AOA
stem,NSE
in,SVS
die,LB
Parlement,NSE
wat,PB
haar,PDVEDP
onverpoosd,BS
vir,SVS
verandering,NSE
beywer,VTHOO
het,VUOT
.,ZE
,
Ons,PEMP
erken,VTHOG
ook,BS
die,LB
rol,NSE
van,SVS
die,LB
leier,NSE
van,SVS
die,LB
Inkatha,NEE
Vryheidsparty,NSE
",",ZM
Inkosi,NEE
Mangosuthu,NEE
Buthelezi,NEE
",",ZM
wat,PB
Madiba,NEE
se,UPS
vrylating,NA
ge‰is,VVHOG
het,VUOT
",",ZM
asook,KN
die,LB
vrylating,NA
van,SVS
ander,ASA
politieke,ASA
gevangenes,NSM
en,KN
die,LB
terugkeer,NA
van,SVS
uitgewekenes,NSM
.,ZE
,
Ons,PEMP
herbevestig,VTHOG
ons,PEMB
innige,ASA
dankbaarheid,NA
teenoor,SVS
die,LB
internasionale,ASA
gemeenskap,NSE
vir,SVS
hul,PDMB
onwrikbare,ASA
steun,NA
vir,SVS
ons,PEMB
stryd,NA
.,ZE
,
Hierdie,PA
oomblikke,NSM
in,SVS
ons,PEMB
geskiedenis,NA
demonstreer,VTHOG
ons,PEMB
vermo‰,NSE
om,SVS
saam,UPW
te,UPI
werk,VTHOO
",",ZM
selfs,BS
onder,SVS
moeilike,ASA
omstandighede,NSM
",",ZM
en,KN
om,SVS
die,LB
land,NSE
se,UPS
belange,NSM
bo,SVS
alle,THBO
ander,ASA
oorwegings,NSM
te,UPI
stel,VTHOG
.,ZE
,
Deur,SVS
saam,UPW
te,UPI
werk,VTHOO
",",ZM
kan,VTUOM
ons,PEMP
meer,THBO
bereik,VTHOG
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Gedurende,SVS
die,LB
loop,NA
van,SVS
hierdie,PA
jaar,NSE
sal,VTUOM
ons,PEMP
die,LB
eeufeesviering,NSE
van,SVS
die,LB
stigting,NA
van,SVS
die,LB
Unie,NSE
van,SVS
Suid-Afrika,NEE
vier,VTHOG
",",ZM
wat,PB
in,SVS
1910,RS
tot,SVS
stand,NA
gekom,VVHOO
het,VUOT
.,ZE
,
Dit,PDOENP
het,VUOT
tot,SVS
'n,LO
verenigde,ASA
staat,NSE
gelei,VVHOO
.,ZE
,
Van,SVS
besondere,ASA
belang,NSE
is,VTHOK
dat,KO
die,LB
uitsluiting,NA
van,SVS
swart,ASA
mense,NSM
van,SVS
hierdie,PA
Unie,NSE
een,THAB
van,UPD
die,LB
hoofredes,NSM
was,VVHOK
vir,SVS
die,LB
stigting,NA
van,SVS
die,LB
African,NEE
National,NEE
Congress,NEE
in,SVS
1912,RS
.,ZE
,
Wanneer,PB
ons,PEMP
later,BV
vanjaar,BS
hierdie,PA
eeufees,NSE
vier,VTHOG
",",ZM
moet,VTUOM
ons,PEMP
besin,VTHOO
oor,SVS
hoe,PB
ver,BS
ons,PEMP
reeds,BS
as,KO
'n,LO
land,NSE
gekom,VVHOO
het,VUOT
.,ZE
,
Agbare,ASA
lede,NSM
",",ZM
,
Ons,PEMP
onthou,VTHOG
vandag,BS
die,LB
woorde,NSM
van,SVS
Madiba,NEE
ten,SVS
tyde,NSM
van,SVS
sy,PDHEB
vrylating,NA
",",ZM
en,KN
ek,PEENP
haal,VTHOG
aan,UPW
:,ZM
,
Ek,PEENP
staan,VTHOO
voor,SVS
julle,PTMP
",",ZM
nie,BS
as,KO
'n,LO
profeet,NSE
nie,UPO
",",ZM
maar,KN
as,KO
'n,LO
nederige,ASA
dienaar,NSE
van,SVS
julle,PTMP
",",ZM
die,LB
mense,NSM
.,ZE
,
Julle,PTMB
onvermoeide,ASA
en,KN
heldhaftige,ASA
opofferings,NSM
het,VUOT
dit,PDOENP
vir,SVS
my,PEEDP
moontlik,BS
gemaak,VVHOG
om,SVS
vandag,BS
hier,BS
te,UPI
wees,VTHOK
.,ZE
,
Daarom,PB
plaas,VTHOG
ek,PEENP
die,LB
oorblywende,ASA
jare,NSM
van,SVS
my,PEEB
lewe,NSE
in,SVS
julle,PTMB
hande,NSM
.,ZE
,
Hierdie,PA
woorde,NSM
inspireer,VTHOG
ons,PEMP
om,SVS
nie,BS
te,UPI
rus,VTHOO
totdat,KO
ons,PEMP
die,LB
